Source (A),Source (B),Source (C),Source (D),Source (E),Source (F),Source (G),Source (H),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
326,285186983,Tim Luisi,You hear every day about a hundred thousand plus people testing positive for #covid19. Those numbers hit even worse… https://t.co/KJZhkMibNZ,"{'hashtags': [{'text': 'covid19', 'indices': [77, 85]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KJZhkMibNZ', 'expanded_url': 'https://twitter.com/i/web/status/1362553205666775051', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",0,6,2021-02-19 00:02:53,24,88.46,95.20,1.00,25.77,12.00,29.17,75.00,29.17,8.33,4.17,0.00,0.00,4.17,0.00,0.00,4.17,4.17,12.50,0.00,8.33,4.17,0.00,12.50,8.33,4.17,0.00,8.33,4.17,8.33,4.17,4.17,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,8.33,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,8.33,4.17,0.00,8.33,0.00,4.17,0.00,0.00,4.17,4.17,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,25.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50
327,698918714381455360,CB Community,"If you're thinking about selling your home, finding out its worth is the place to start! Get a free estimate now! 🤩… https://t.co/fvQSoOm19e","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fvQSoOm19e', 'expanded_url': 'https://twitter.com/i/web/status/1362552634889154560', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",0,0,2021-02-19 00:00:37,26,74.94,87.57,63.54,89.84,8.67,19.23,80.77,42.31,11.54,7.69,0.00,0.00,7.69,0.00,0.00,3.85,7.69,11.54,7.69,7.69,3.85,0.00,23.08,3.85,0.00,0.00,0.00,0.00,3.85,3.85,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,11.54,7.69,0.00,3.85,3.85,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,0.00,0.00,3.85,0.00,0.00,19.23,0.00,15.38,0.00,7.69,7.69,0.00,0.00,3.85,11.54,0.00,0.00,3.85,0.00,3.85,0.00,0.00,0.00,30.77,7.69,3.85,0.00,0.00,0.00,7.69,0.00,0.00,3.85,0.00,7.69
328,351275891,John Klingenstein,"We have surpassed 490,000 COVID-19 deaths in the United States and will soon top 500,000. #WearAMask #WashHands… https://t.co/RbmjN4UgQf","{'hashtags': [{'text': 'WearAMask', 'indices': [90, 100]}, {'text': 'WashHands', 'indices': [101, 111]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RbmjN4UgQf', 'expanded_url': 'https://twitter.com/i/web/status/1362551082136842240', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [113, 136]}]}",0,0,2021-02-18 23:54:27,25,73.88,78.82,6.70,25.77,12.50,16.00,44.00,28.00,4.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,4.00,4.00,8.00,4.00,4.00,0.00,8.00,4.00,4.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,4.00,8.00,4.00,4.00,0.00,0.00,4.00,8.00,12.00,0.00,8.00,4.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,4.00,0.00,0.00,0.00,40.00,12.00,8.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,16.00
329,2474484943,🇺🇸 CesarCota 4 Education Policy 🇲🇽,"#REDForED #REDStorm #ProtectPublicEducation #DemandSafeSchool #StrongPublicSchools
#PublicSchoolProud 

The more Co… https://t.co/RMgkx3Bxx5","{'hashtags': [{'text': 'REDForED', 'indices': [0, 9]}, {'text': 'REDStorm', 'indices': [10, 19]}, {'text': 'ProtectPublicEducation', 'indices': [20, 43]}, {'text': 'DemandSafeSchool', 'indices': [44, 61]}, {'text': 'StrongPublicSchools', 'indices': [62, 82]}, {'text': 'PublicSchoolProud', 'indices': [83, 101]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/RMgkx3Bxx5', 'expanded_url': 'https://twitter.com/i/web/status/1362549313549737986', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",1,1,2021-02-18 23:47:25,14,97.73,50.00,1.00,25.77,14.00,50.00,35.71,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,0.00,0.00,71.43,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.14
330,3348119374,Rob,"Once the vaccination has been rolled out, can all the people who still wanna #SocialDistance fuck off.","{'hashtags': [{'text': 'SocialDistance', 'indices': [77, 92]}], 'symbols': [], 'user_mentions': [], 'urls': []}",0,0,2021-02-18 23:29:00,17,74.42,72.17,28.81,1.00,17.00,11.76,82.35,58.82,5.88,0.00,0.00,0.00,0.00,0.00,0.00,5.88,11.76,11.76,23.53,5.88,0.00,0.00,17.65,0.00,0.00,5.88,5.88,5.88,5.88,0.00,5.88,0.00,5.88,0.00,11.76,0.00,0.00,0.00,0.00,11.76,0.00,0.00,5.88,0.00,5.88,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,17.65,5.88,23.53,0.00,11.76,11.76,0.00,0.00,0.00,0.00,0.00,0.00,11.76,5.88,0.00,0.00,0.00,0.00,17.65,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88
331,176557439,"Lyric, S","I understand my #SocialDistance game way b4 #rona undefeated but it’s not always personal.Especially with me,I damn… https://t.co/TNXADPbvDf","{'hashtags': [{'text': 'SocialDistance', 'indices': [16, 31]}, {'text': 'rona', 'indices': [44, 49]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/TNXADPbvDf', 'expanded_url': 'https://twitter.com/i/web/status/1362542127801131008', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",0,0,2021-02-18 23:18:52,24,18.82,1.00,99.00,1.00,24.00,25.00,70.83,37.50,20.83,16.67,16.67,0.00,0.00,0.00,0.00,4.17,0.00,4.17,4.17,4.17,4.17,4.17,8.33,4.17,0.00,0.00,0.00,0.00,8.33,0.00,4.17,0.00,4.17,0.00,8.33,0.00,0.00,0.00,0.00,20.83,4.17,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,4.17,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,4.17,4.17,0.00,4.17,0.00,0.00,0.00,0.00,12.50,4.17,8.33,0.00,0.00,0.00,37.50,12.50,4.17,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,16.67
332,2666615676,Indie 101,"Live music persevered with these socially distanced concerts!

https://t.co/nNFyavmuOB

@julytalk @peachpitmusic… https://t.co/1yjry1QE6i","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'julytalk', 'name': 'July Talk', 'id': 416769484, 'id_str': '416769484', 'indices': [88, 97]}, {'screen_name': 'peachpitmusic', 'name': 'Peach Pit', 'id': 2866196621, 'id_str': '2866196621', 'indices': [98, 112]}], 'urls': [{'url': 'https://t.co/nNFyavmuOB', 'expanded_url': 'https://exclaim.ca/music/article/a_look_back_on_this_summers_socially_distanced_concerts_canada', 'display_url': 'exclaim.ca/music/article/…', 'indices': [63, 86]}, {'url': 'https://t.co/1yjry1QE6i', 'expanded_url': 'https://twitter.com/i/web/status/1362537481812475906', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]}",0,0,2021-02-18 23:00:25,22,93.26,67.52,1.00,25.77,11.00,31.82,45.45,9.09,4.55,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,4.55,0.00,4.55,0.00,0.00,9.09,4.55,4.55,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,4.55,0.00,0.00,9.09,0.00,0.00,0.00,0.00,9.09,0.00,9.09,0.00,0.00,0.00,45.45,13.64,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,27.27
333,1137821822714560514,South Florida Tribune (The Sports Exchange),https://t.co/v6rWYVDDgn The true definition of a student athlete. @NSUSharks @NSUAlumni @NSUAD_Mominey… https://t.co/EJ5F0hurLn,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NSUSharks', 'name': 'NSU Athletics', 'id': 72949599, 'id_str': '72949599', 'indices': [66, 76]}, {'screen_name': 'NSUAlumni', 'name': 'NSU Alumni', 'id': 600211638, 'id_str': '600211638', 'indices': [77, 87]}, {'screen_name': 'NSUAD_Mominey', 'name': 'Michael Mominey', 'id': 491624587, 'id_str': '491624587', 'indices': [88, 102]}], 'urls': [{'url': 'https://t.co/v6rWYVDDgn', 'expanded_url': 'https://southfloridatribune.com/nsu-places-74-student-athletes-on-fall-ssc-commissioners-honor-roll/', 'display_url': 'southfloridatribune.com/nsu-places-74-…', 'indices': [0, 23]}, {'url': 'https://t.co/EJ5F0hurLn', 'expanded_url': 'https://twitter.com/i/web/status/1362536497749123076', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]}",1,1,2021-02-18 22:56:30,21,99.00,50.00,1.00,95.81,10.50,38.10,42.86,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,4.76,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,4.76,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.52,4.76,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,4.76,0.00,0.00,0.00,0.00,9.52,0.00,9.52,0.00,0.00,0.00,57.14,19.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.10
334,1137821822714560514,South Florida Tribune (The Sports Exchange),https://t.co/FJHiX8b5kh Nice accomplishment @FAUAthletics @fauowl220 @FQFAU @FAUAlumni @fauowls44 @FAUOwlProwl… https://t.co/c95PQ7w5xD,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FAUAthletics', 'name': '#WinningInParadise', 'id': 32067485, 'id_str': '32067485', 'indices': [44, 57]}, {'screen_name': 'fauowl220', 'name': 'Scott Jones', 'id': 914743458, 'id_str': '914743458', 'indices': [58, 68]}, {'screen_name': 'FQFAU', 'name': 'Fifth Quarter FAU', 'id': 1202261566671982593, 'id_str': '1202261566671982593', 'indices': [69, 75]}, {'screen_name': 'FAUAlumni', 'name': 'FAU Alumni 😷', 'id': 374695969, 'id_str': '374695969', 'indices': [76, 86]}, {'screen_name': 'fauowls44', 'name': 'Go Owls', 'id': 56648812, 'id_str': '56648812', 'indices': [87, 97]}, {'screen_name': 'FAUOwlProwl', 'name': 'FAU Owl Prowl', 'id': 146171021, 'id_str': '146171021', 'indices': [98, 110]}], 'urls': [{'url': 'https://t.co/FJHiX8b5kh', 'expanded_url': 'https://southfloridatribune.com/allen-earns-c-usa-player-of-the-week/', 'display_url': 'southfloridatribune.com/allen-earns-c-…', 'indices': [0, 23]}, {'url': 'https://t.co/c95PQ7w5xD', 'expanded_url': 'https://twitter.com/i/web/status/1362533912749232131', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [112, 135]}]}",1,0,2021-02-18 22:46:14,18,93.26,50.00,1.00,98.27,18.00,44.44,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,5.56,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,0.00,72.22,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.56
335,1349786803880996867,MyThoughts,"@ITVWales Not an essential journey, little #SocialDistance little or no #facemasks, well done fuckwits fine them all!. #Wales #LawAndOrder","{'hashtags': [{'text': 'SocialDistance', 'indices': [43, 58]}, {'text': 'facemasks', 'indices': [72, 82]}, {'text': 'Wales', 'indices': [119, 125]}, {'text': 'LawAndOrder', 'indices': [126, 138]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ITVWales', 'name': 'ITV Wales News', 'id': 166942410, 'id_str': '166942410', 'indices': [0, 9]}], 'urls': []}",0,0,2021-02-18 22:44:40,19,35.06,5.73,81.22,99.00,9.50,36.84,73.68,36.84,5.26,5.26,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,5.26,5.26,5.26,10.53,5.26,10.53,0.00,0.00,0.00,5.26,10.53,10.53,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,21.05,0.00,0.00,0.00,5.26,10.53,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,5.26,0.00,0.00,5.26,0.00,0.00,15.79,5.26,10.53,0.00,5.26,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,5.26,0.00,47.37,5.26,10.53,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,26.32
336,903002488915333122,Just Jodene,"#Coronavirus Mutations In Boston Patient May Hold Clues To Variant Origins...OH, DEAR GOD!😳

#Covid19variants… https://t.co/MMzxIvafTZ","{'hashtags': [{'text': 'Coronavirus', 'indices': [0, 12]}, {'text': 'Covid19variants', 'indices': [93, 109]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/MMzxIvafTZ', 'expanded_url': 'https://twitter.com/i/web/status/1362529384196935688', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [111, 134]}]}",0,0,2021-02-18 22:28:14,20,96.79,69.14,1.00,96.76,10.00,35.00,40.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,10.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,10.00,0.00,5.00,0.00,5.00,0.00,55.00,25.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,20.00
337,766819741260455936,Erin Parker,Cried happy tears today!! My mom has been on life support 3 times in 10 years. Today is the first time in close to… https://t.co/qO0A84b5RU,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qO0A84b5RU', 'expanded_url': 'https://twitter.com/i/web/status/1362528085401346051', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",0,8,2021-02-18 22:23:04,29,95.92,50.00,99.00,25.77,9.67,6.90,79.31,31.03,3.45,3.45,3.45,0.00,0.00,0.00,0.00,0.00,3.45,13.79,10.34,0.00,0.00,0.00,17.24,3.45,0.00,0.00,10.34,0.00,13.79,6.90,6.90,0.00,0.00,6.90,3.45,3.45,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.00,3.45,0.00,0.00,3.45,0.00,3.45,0.00,0.00,0.00,6.90,17.24,0.00,34.48,0.00,13.79,20.69,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.00,3.45,0.00,0.00,0.00,24.14,10.34,0.00,0.00,0.00,0.00,6.90,0.00,0.00,0.00,0.00,6.90
338,143092332,Harris County Public Health #SocialDistance,"🚨As of today Feb 18 (4pm), there are 339,444 confirmed cases of #COVID19 in Houston/Harris County and 3,164 deaths.… https://t.co/sfsVjw9rfM","{'hashtags': [{'text': 'COVID19', 'indices': [64, 72]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/sfsVjw9rfM', 'expanded_url': 'https://twitter.com/i/web/status/1362526500319281158', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",3,6,2021-02-18 22:16:46,27,93.26,50.00,4.97,25.77,27.00,14.81,40.74,25.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.81,3.70,3.70,7.41,0.00,3.70,3.70,3.70,0.00,18.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,0.00,11.11,0.00,7.41,3.70,0.00,0.00,0.00,0.00,0.00,3.70,3.70,0.00,3.70,0.00,0.00,0.00,44.44,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.41,14.81
339,4907035345,David Merten,"Wherever you are, enjoy the moments safely and responsibly. 

#PhotosBtTheMert #PbTM 
#Texas 
#Winter 
#Snow… https://t.co/qRmFp3ER0T","{'hashtags': [{'text': 'PhotosBtTheMert', 'indices': [62, 78]}, {'text': 'PbTM', 'indices': [79, 84]}, {'text': 'Texas', 'indices': [86, 92]}, {'text': 'Winter', 'indices': [94, 101]}, {'text': 'Snow', 'indices': [103, 108]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qRmFp3ER0T', 'expanded_url': 'https://twitter.com/i/web/status/1362525894787661831', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [110, 133]}]}",0,0,2021-02-18 22:14:22,19,49.71,85.38,19.27,99.00,9.50,26.32,57.89,26.32,5.26,5.26,0.00,0.00,5.26,0.00,0.00,0.00,5.26,0.00,5.26,5.26,10.53,0.00,5.26,0.00,0.00,5.26,0.00,0.00,10.53,10.53,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,15.79,0.00,5.26,10.53,5.26,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,57.89,15.79,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.84
340,323628868,William M-S.,And remember to protect yourselves and the @tsa checkpoint #securityofficers their #traininginstructors the… https://t.co/zjoFMH6EDk,"{'hashtags': [{'text': 'securityofficers', 'indices': [59, 76]}, {'text': 'traininginstructors', 'indices': [83, 103]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TSA', 'name': 'TSA', 'id': 414331122, 'id_str': '414331122', 'indices': [43, 47]}], 'urls': [{'url': 'https://t.co/zjoFMH6EDk', 'expanded_url': 'https://twitter.com/i/web/status/1362525738612584450', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [109, 132]}]}",0,0,2021-02-18 22:13:45,18,86.43,95.20,1.00,98.27,18.00,38.89,61.11,38.89,11.11,11.11,0.00,0.00,5.56,0.00,5.56,0.00,11.11,5.56,0.00,0.00,11.11,0.00,5.56,0.00,0.00,0.00,0.00,0.00,5.56,5.56,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,5.56,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,11.11,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,5.56,0.00,0.00,0.00,38.89,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.78
341,365315777,Joseph Heffernan,There be no dry riding at the end of these date nights #socialdistance #FirstDatesIRL #weird,"{'hashtags': [{'text': 'socialdistance', 'indices': [55, 70]}, {'text': 'FirstDatesIRL', 'indices': [71, 85]}, {'text': 'weird', 'indices': [86, 92]}], 'symbols': [], 'user_mentions': [], 'urls': []}",0,0,2021-02-18 22:07:44,15,84.62,50.00,98.01,1.00,15.00,13.33,86.67,46.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,6.67,6.67,13.33,6.67,6.67,0.00,6.67,13.33,13.33,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,33.33,6.67,6.67,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00
342,1166937041755607040,Nano Viricides,These are the facts #covid19 #coronavirus #wearamask #socialdistance #stopthespread #coronaphobia https://t.co/jslyIOvr7t,"{'hashtags': [{'text': 'covid19', 'indices': [20, 28]}, {'text': 'coronavirus', 'indices': [29, 41]}, {'text': 'wearamask', 'indices': [42, 52]}, {'text': 'socialdistance', 'indices': [53, 68]}, {'text': 'stopthespread', 'indices': [69, 83]}, {'text': 'coronaphobia', 'indices': [84, 97]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1362522570092924932, 'id_str': '1362522570092924932', 'indices': [98, 121], 'media_url': 'http://pbs.twimg.com/media/EuinDvzXUAQYhDk.png', 'media_url_https': 'https://pbs.twimg.com/media/EuinDvzXUAQYhDk.png', 'url': 'https://t.co/jslyIOvr7t', 'display_url': 'pic.twitter.com/jslyIOvr7t', 'expanded_url': 'https://twitter.com/NNVCNYSE/status/1362522573272215555/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 680, 'h': 491, 'resize': 'fit'}, 'small': {'w': 680, 'h': 491, 'resize': 'fit'}, 'large': {'w': 680, 'h': 491, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}",0,0,2021-02-18 22:01:10,15,84.62,50.00,1.00,25.77,15.00,46.67,33.33,20.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,6.67,6.67,0.00,6.67,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,60.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.33
343,698918714381455360,CB Community,"May we introduce our Rookie Of The Year for 2020, Hayley Redmond!

#hayleyredmondrealtor… https://t.co/6sG9n1466Q","{'hashtags': [{'text': 'hayleyredmondrealtor', 'indices': [67, 88]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/6sG9n1466Q', 'expanded_url': 'https://twitter.com/i/web/status/1362515178412212225', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [90, 113]}]}",0,0,2021-02-18 21:31:47,20,93.26,97.69,1.00,25.77,10.00,15.00,45.00,30.00,10.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,5.00,10.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,10.00,0.00,5.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,35.00,10.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,15.00
344,1722951200,World's smallest mobile cinema,"Social distancing fashion tip from Victorian days.

#SocialDistance 
#lockdown https://t.co/tkQ0Q9TRm2","{'hashtags': [{'text': 'SocialDistance', 'indices': [52, 67]}, {'text': 'lockdown', 'indices': [69, 78]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1362513686250815490, 'id_str': '1362513686250815490', 'indices': [79, 102], 'media_url': 'http://pbs.twimg.com/media/Euie-o6WgAIhlbs.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Euie-o6WgAIhlbs.jpg', 'url': 'https://t.co/tkQ0Q9TRm2', 'display_url': 'pic.twitter.com/tkQ0Q9TRm2', 'expanded_url': 'https://twitter.com/theSolCinema/status/1362513705372631042/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 466, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 821, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1402, 'resize': 'fit'}}}]}",0,0,2021-02-18 21:25:56,14,97.73,76.25,13.15,25.77,7.00,42.86,42.86,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,7.14,7.14,7.14,7.14,0.00,0.00,0.00,0.00,14.29,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,0.00,0.00,42.86,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57
